#,v4,Type,#,v4,Type
A,PARAM_TEMP_LIQ,Sensor,AA,PARAM_TEMP_TARGET,User defined
B,PARAM_TEMP_PCB,Sensor,AB,PARAM_TEMP_MAX,User defined
C,PARAM_WEIGHT,Sensor,AC,PARAM_TEMP_REG_TIME,User defined
D,PARAM_WEIGHT_STATUS,State machine,AD,PARAM_WEIGHT_MIN,User defined
E,PARAM_PH,Sensor,AE,PARAM_WEIGHT_MAX,User defined
F,PARAM_PH_STATE,State machine,AF,PARAM_SEDIMENTATION_TIME,User defined
G,PARAM_FLUX_GAS1,Sensor,AG,PARAM_FILLED_TIME,User defined
H,PARAM_FLUX_GAS2,Sensor,AH,PARAM_WEIGHT_FACTOR,Calibration
I,PARAM_FLUX_GAS3,Sensor,AI,PARAM_WEIGHT_OFFSET,Calibration
J,PARAM_FLUX_GAS4,Sensor,AJ,PARAM_TARGET_PH,User defined
K,PARAM_CONDUCTO,Sensor,AK,PARAM_PH_FACTOR_A,Calibration
L,-,-,AL,PARAM_PH_FACTOR_B,Calibration
M,-,-,AM,PARAM_STEPPER_SPEED,User defined
N,-,-,AN,PARAM_DESIRED_FLUX_GAS1,User defined
O,-,-,AO,PARAM_DESIRED_FLUX_GAS2,User defined
P,-,-,AP,PARAM_DESIRED_FLUX_GAS3,User defined
Q,-,-,AQ,PARAM_DESIRED_FLUX_GAS4,User defined
R,-,-,AR,PARAM_ANEMO_OFFSET1,Calibration
S,-,-,AS,PARAM_ANEMO_OFFSET2,Calibration
T,-,-,AT,PARAM_ANEMO_OFFSET3,Calibration
U,-,-,AU,PARAM_ANEMO_OFFSET4,Calibration
V,-,-,AV,PARAM_ANEMO_FACTOR1,Calibration
W,-,-,AW,PARAM_ANEMO_FACTOR2,Calibration
X,-,-,AX,PARAM_ANEMO_FACTOR3,Calibration
Y,-,-,AY,PARAM_ANEMO_FACTOR4,Calibration
Z,PARAM_STATUS,State machine,AZ,,
